calling phone;receiving phone;date;price
49;45;2020-11-08;12
65;39;2020-06-21;8
40;35;2020-01-10;4
28;56;2020-07-19;10
46;68;2020-08-22;14
65;92;2020-05-28;1
11;12;2020-07-11;11
70;76;2020-02-16;15
92;88;2020-04-24;0
92;84;2021-01-19;19
45;76;2020-03-17;11
78;67;2020-08-11;2
99;25;2020-03-20;8
76;42;2020-06-15;8
45;92;2020-01-22;13
27;89;2020-04-01;16
57;91;2020-04-15;16
62;34;2020-09-01;8
63;64;2020-06-12;3
40;76;2020-12-24;10
24;68;2020-04-17;12
16;42;2020-09-14;10
31;57;2020-02-02;9
56;60;2020-11-23;10
23;61;2020-01-08;15
82;84;2020-10-16;8
90;55;2020-06-07;2
50;28;2020-02-05;11
81;82;2020-10-30;14
71;62;2020-11-04;4
27;59;2020-02-06;10
12;49;2020-06-12;1
98;52;2020-09-29;2
95;23;2020-11-22;17
43;83;2020-05-16;6
25;84;2020-02-14;9
17;73;2020-08-18;2
32;34;2021-01-14;15
31;95;2020-03-28;17
81;87;2020-03-19;1
70;27;2020-07-18;3
69;75;2020-04-01;15
53;61;2020-09-20;5
11;59;2020-07-11;3
54;41;2020-12-13;12
95;71;2020-05-01;10
49;11;2020-10-29;12
99;37;2020-12-02;1
93;95;2020-12-03;1
32;56;2020-12-03;10
36;15;2021-01-14;0
78;68;2020-05-15;14
27;12;2020-01-06;5
39;19;2020-08-05;1
38;76;2020-04-27;16
21;56;2020-12-08;14
65;94;2020-08-20;11
52;97;2020-08-05;13
66;43;2020-05-28;8
92;32;2020-03-28;9
65;22;2020-06-23;18
29;13;2020-04-07;13
46;20;2020-08-18;13
26;18;2020-01-11;2
63;91;2020-06-26;15
51;31;2020-12-09;15
45;72;2020-01-24;18
40;12;2020-07-18;6
24;44;2020-12-22;9
22;49;2020-02-11;0
59;74;2020-04-09;0
12;10;2020-01-09;14
35;71;2020-09-07;14
28;80;2020-01-01;16
39;47;2020-11-04;1
79;67;2020-12-28;14
52;44;2020-07-09;7
50;19;2020-03-28;6
52;75;2020-08-17;0
99;11;2020-08-31;0
14;78;2020-09-03;15
31;53;2020-11-26;15
61;63;2020-12-11;7
46;83;2020-12-10;4
96;98;2020-08-14;14
84;16;2020-08-22;9
33;17;2020-06-27;17
93;69;2020-11-26;0
54;66;2021-01-06;7
23;66;2021-01-04;15
61;25;2020-02-22;7
79;52;2020-02-28;11
77;20;2020-09-07;1
67;31;2020-02-11;4
77;37;2020-04-30;3
15;93;2020-04-01;13
24;25;2020-04-17;11
51;62;2020-02-13;14
15;52;2020-01-07;5
73;11;2020-03-03;17
98;96;2020-08-07;2
68;87;2020-12-10;19
30;24;2020-06-20;12
49;20;2020-06-03;14
70;28;2020-05-14;0
88;50;2020-05-09;11
80;72;2020-11-09;7
83;32;2020-03-30;4
87;27;2020-06-05;13
56;46;2020-02-22;5
13;63;2020-06-23;19
49;84;2021-01-15;3
25;22;2020-12-29;4
84;24;2020-08-18;6
29;55;2020-05-25;6
28;71;2020-08-19;2
88;19;2020-05-02;8
39;83;2020-07-11;9
29;34;2020-03-26;2
75;42;2020-08-18;0
87;31;2020-07-09;7
84;49;2020-05-08;6
44;16;2020-11-13;3
46;24;2020-05-31;3
89;79;2020-11-14;0
49;12;2020-03-27;3
74;68;2020-03-22;7
60;77;2020-12-09;2
88;62;2020-03-30;9
87;71;2020-08-02;0
51;46;2020-06-02;1
11;57;2020-03-27;3
60;21;2020-11-28;13
99;87;2020-07-29;10
12;75;2020-05-05;18
14;89;2020-05-06;6
23;95;2020-12-03;5
79;62;2020-05-07;19
37;93;2020-12-11;14
97;77;2020-09-11;12
71;64;2020-05-29;1
73;94;2020-03-03;17
64;46;2020-03-12;14
94;14;2020-01-10;6
20;18;2021-01-01;2
86;20;2020-05-18;9
44;45;2020-04-23;19
61;79;2020-02-19;12
93;82;2020-04-18;15
37;20;2020-01-05;13
57;11;2020-08-19;6
47;44;2020-04-11;13
58;59;2020-12-15;16
22;43;2020-06-21;2
31;80;2020-11-01;7
22;29;2020-11-11;11
68;67;2020-03-08;17
95;46;2020-04-08;19
98;81;2020-03-14;4
57;85;2020-11-24;16
35;86;2020-03-26;18
78;84;2020-10-11;0
10;43;2020-10-30;12
53;47;2021-01-07;1
52;33;2020-10-04;7
37;12;2020-09-17;10
14;10;2020-03-19;13
92;36;2021-01-15;11
94;67;2020-12-25;7
74;96;2020-04-26;9
32;39;2020-05-07;7
17;44;2020-04-04;11
48;85;2020-10-22;17
76;10;2021-01-12;7
31;97;2021-01-04;3
74;57;2020-05-07;1
77;49;2020-01-14;10
42;28;2020-11-04;17
82;65;2020-05-23;8
36;82;2020-07-10;18
25;76;2020-11-15;10
19;10;2020-02-22;12
36;92;2020-07-06;16
14;79;2020-07-28;12
36;98;2020-10-08;18
95;30;2020-04-13;15
90;41;2020-09-24;12
54;36;2020-10-03;10
38;53;2020-12-30;7
54;67;2020-01-23;7
20;77;2020-12-13;17
80;63;2020-06-05;10
26;93;2020-04-17;11
99;38;2020-05-02;8
65;23;2020-08-02;5
89;25;2020-01-03;12
70;15;2020-12-18;13
10;84;2020-03-30;0
81;69;2020-08-06;18
84;28;2020-08-19;11
54;97;2020-04-26;6
30;79;2020-12-25;10
42;89;2021-01-01;8
18;63;2020-08-02;6
44;92;2020-09-29;4
18;55;2020-10-25;2
19;76;2020-11-11;18
84;15;2020-06-08;19
45;39;2020-10-23;5
32;41;2020-03-03;11
57;94;2020-03-22;8
42;33;2021-01-05;8
70;20;2020-01-11;2
28;37;2020-09-25;7
28;60;2020-05-23;0
16;58;2020-08-20;13
55;36;2020-12-21;0
34;21;2020-10-10;16
97;62;2020-12-05;7
44;22;2020-10-24;2
11;20;2020-02-08;15
49;69;2020-11-28;12
32;79;2020-08-24;8
35;95;2020-11-01;11
25;47;2020-01-18;5
49;49;2020-05-03;14
96;76;2020-06-18;18
15;65;2020-06-20;17
56;45;2020-12-04;15
75;30;2020-07-30;13
34;90;2020-10-09;3
26;42;2020-03-13;18
48;85;2020-05-14;19
49;68;2020-10-13;8
59;32;2020-05-20;5
49;26;2020-06-14;8
83;82;2020-07-02;9
68;69;2020-06-23;14
36;57;2020-03-14;11
62;75;2020-01-04;19
11;99;2020-03-03;4
53;14;2020-09-21;9
46;49;2020-12-07;15
49;68;2020-04-05;8
46;94;2020-03-04;0
96;93;2020-07-26;15
30;96;2020-09-19;1
38;45;2020-10-09;4
53;39;2020-03-14;3
49;48;2020-11-24;7
77;19;2020-03-21;11
62;86;2020-12-22;16
48;23;2021-01-11;16
44;71;2020-10-22;7
33;11;2020-10-01;2
30;19;2020-02-11;16
44;30;2020-06-08;5
40;11;2020-11-03;11
90;72;2020-05-12;7
36;78;2020-09-12;6
55;53;2020-03-07;17
31;31;2020-03-10;12
28;96;2020-05-21;7
21;13;2020-07-19;19
60;43;2020-11-09;5
49;30;2020-04-21;12
88;80;2020-09-08;11
32;42;2020-10-27;10
88;15;2020-05-04;18
49;67;2020-11-14;2
15;65;2020-02-03;9
12;70;2020-07-29;5
33;42;2020-06-18;3
22;66;2020-08-03;10
17;96;2020-11-03;14
15;50;2020-04-09;18
24;76;2020-04-29;6
73;41;2020-11-10;12
61;13;2020-09-05;9
86;51;2020-02-13;8
48;80;2020-07-30;12
81;64;2020-08-30;9
56;36;2020-11-15;14
16;14;2020-04-07;14
21;79;2020-06-30;15
46;62;2020-01-20;17
95;97;2020-12-26;16
27;74;2020-01-24;13
79;93;2020-03-01;18
75;17;2021-01-10;12
47;39;2020-09-28;0
76;43;2020-03-31;7
80;37;2020-03-16;3
69;19;2020-01-08;6
97;69;2020-04-12;15
30;55;2020-05-12;12
76;13;2020-12-28;7
34;86;2021-01-12;10
26;28;2020-04-27;5
90;96;2020-09-25;9
12;98;2021-01-19;5
32;42;2020-09-03;6
64;27;2020-08-21;19
62;49;2020-05-30;12
45;55;2020-11-17;13
92;85;2020-12-13;3
11;71;2020-02-09;19
56;75;2020-10-12;17
54;84;2020-11-18;12
10;71;2020-08-11;5
66;63;2020-10-31;16
55;85;2020-04-28;3
53;25;2020-05-08;19
78;64;2020-07-30;16
72;63;2020-05-08;1
27;77;2020-03-12;9
87;86;2020-08-30;19
64;62;2020-01-20;10
30;59;2020-03-02;16
37;80;2020-03-05;10
32;84;2020-02-14;19
13;67;2021-01-15;16
60;61;2020-02-14;5
94;35;2020-04-06;16
53;99;2020-08-27;1
65;75;2020-08-09;0
48;68;2020-05-30;13
92;35;2020-09-07;16
90;27;2020-04-23;9
66;36;2020-06-13;11
27;38;2020-04-20;8
72;60;2020-04-18;2
86;28;2020-11-06;15
42;71;2020-09-18;3
28;63;2020-11-04;13
58;44;2020-01-24;6
45;53;2020-06-21;12
31;16;2020-05-03;13
46;11;2020-09-29;7
92;97;2020-07-01;9
72;83;2020-02-02;13
33;57;2020-08-22;2
27;38;2020-07-14;0
95;23;2020-07-01;17
16;90;2020-12-24;11
83;54;2020-10-19;16
88;33;2020-01-22;4
62;58;2020-09-24;1
51;60;2020-12-03;19
36;95;2020-10-10;4
73;68;2020-07-02;18
93;13;2020-12-25;15
36;37;2020-02-11;11
38;95;2020-01-02;3
60;61;2020-06-17;9
17;37;2020-06-10;1
37;42;2020-08-04;15
28;71;2020-07-21;7
16;57;2020-09-05;2
17;67;2020-10-07;13
40;94;2021-01-16;1
15;17;2020-01-07;0
56;24;2020-11-10;4
39;81;2020-10-31;10
69;73;2020-01-18;3
54;63;2020-10-13;17
18;70;2020-06-28;13
25;57;2020-07-09;18
62;15;2021-01-11;5
73;82;2020-05-10;10
50;81;2020-10-26;6
20;37;2020-08-13;2
91;53;2020-04-29;9
35;24;2020-12-29;4
